name	numWords	numUniqWords	words
MinenergoGov	10140	5191	новак, 126;энергетики, 98;рф, 76;министр, 75;россии, 64;сегодня, 56;министра, 55;правительства, 53;минэнерго, 52;года, 38;будет, 32;цены, 30;медведев, 30;нефть, 27;млрд, 27;газа, 25;году, 24;итогам, 24;новака, 24;интервью, 23;развития, 23;
MinistryEconomy	3373	1842	белоусов, 104;минэкономразвития, 50;министр, 47;андрей, 42;развития, 34;улюкаев, 29;министра, 27;медведев, 22;департамента, 22;заместитель, 22;россии, 22;года, 21;экономического, 20;директор, 18;правительства, 16;рф, 16;алексей, 16;году, 15;российской, 15;компаний, 15;малого, 13;
minobrnauki_ru	30860	9155	россии, 327;образования, 306;ливанов, 261;минобрнауки, 246;егэ, 229;вузов, 223;фурсенко, 149;будет, 132;рф, 131;году, 126;года, 124;науки, 119;образование, 117;сегодня, 110;учителей, 104;министр, 103;школа, 98;дмитрий, 95;вуз, 95;должны, 93;совета, 93;
minpromtorg_rus	1523	839	мантуров, 74;денис, 45;рф, 33;россии, 27;промышленности, 24;правительства, 20;мантурова, 15;торговли, 13;программы, 13;минпромторга, 12;министр, 12;заседание, 12;участие, 11;развития, 10;будет, 9;глава, 9;дениса, 8;«развитие, 8;года, 8;российской, 7;замминистра, 7;
Minselhoz	6735	2528	скрынник, 280;елена, 184;рф, 146;хозяйства, 134;сельского, 134;провела, 130;совещание, 98;министр, 82;области, 73;заседание, 49;развития, 47;участие, 47;россии, 39;апк, 36;приняла, 35;российской, 34;вопросам, 31;федерации, 31;состоялось, 29;зерна, 29;елены, 29;
minsvyaz_news	5314	2836	россии, 72;связи, 54;никифоров, 52;николай, 52;минкомсвязи, 49;министр, 28;spief2013, 25;развития, 25;услуг, 25;рф, 25;ит, 22;области, 21;минкомсвязь, 21;россия, 20;будет, 19;сегодня, 19;мкс2013, 18;денис, 18;свердлов, 18;заседание, 18;развитие, 17;
MintransRF	1708	742	транспорта, 82;рф, 67;министра, 30;заседание, 28;министр, 26;соколов, 23;максим, 21;сентября, 20;соколова, 20;россии, 19;максима, 17;совета, 16;«амурская», 13;безопасности, 13;гмскц, 12;информация, 12;состоялось, 11;поездка, 11;рабочая, 11;российской, 10;состоялась, 10;
MintrudRF	7846	3130	топилин, 185;министр, 140;россии, 94;труда, 76;максим, 75;замминистра, 64;рф, 62;года, 56;пенсии, 56;занятости, 49;инвалидов, 48;пенсионной, 48;минтруда, 43;минтруд, 43;году, 38;развития, 35;системы, 34;вовченко, 32;министра, 31;инвалиды, 30;населения, 30;
MinVostok	4964	2156	ишаев, 114;минвостокразвития, 98;дальнего, 87;востока, 85;россии, 69;рф, 65;виктор, 52;развития, 52;сайте, 36;фото, 35;развитию, 34;ишаева, 33;министерства, 32;дв, 32;дальнем, 31;дфо, 30;востоке, 30;виктора, 29;совета, 28;российской, 27;федерации, 25;
MINZDRAV_RF	369	269	рф, 10;здравоохранения, 7;//t, 6;https, 6;скворцова, 5;вероника, 5;министр, 5;министра, 5;минздрава, 5;помощи, 4;интервью, 4;медицинской, 3;президиума, 3;россии, 3;июля, 3;скворцовой, 3;участие, 3;заседании, 3;совета, 2;мониторинга, 2;xi, 2;
