<FFMS_News>|2010-07-13|15:58:30|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|ФСФР России аннулировала лицензии ООО Броко Инвест. |России
<FFMS_News>|2010-07-14|11:48:43|0|0|0|0|0|0|0|0|0|0|2|0|0|3|0|0|Совет Федерации поддержал закон о противодействии инсайду и манипулированию на фин.рынке. 
<FFMS_News>|2010-07-23|13:16:53|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|Принят Приказ ФСФР России о временном отстранении от занимаемой должности руководителя РО службы в ЮФО В.Д.Федорущенко. |России
<FFMS_News>|2010-07-29|21:51:18|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|Новый федеральный закон № 224-ФЗ от 27.07.2010: http://graph.document.kremlin.ru/page.aspx?1;1292761 |Новый Орлеан
<FFMS_News>|2010-07-30|12:04:16|0|0|0|1|0|0|0|0|0|0|1|0|1|4|0|0|Закон о противодейтствии инсайду и манипулированию рынком № 224-ФЗ от 27.07.2010 опубликован в Российской газете 30.07.2010 года. |Российской Федерацией
<FFMS_News>|2010-08-16|11:53:27|0|0|0|1|0|0|0|0|0|0|0|0|1|2|0|0|Арбитражный суд г.Москвы отказал НПФ "Московский пенсионный фонд" в признании недействительным решения ФСФР об аннулировании лицензии фонда. |Москвы
<FFMS_News>|2010-08-16|11:54:58|0|0|0|1|0|0|0|0|0|0|0|0|1|2|0|0|Арбитражный суд г.Москвы отказал НПФ "Инвест-сбережение" в признании недействительным решения ФСФР об аннулировании лицензии фонда. |Москвы
<FFMS_News>|2010-08-16|11:59:28|1|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|ФАС МО отказал в удовлетворении кассационной жалобы НПФ "Отчизна", связанной с вопросом об аннулировании ФСФР России лицензии фонда. |России
<FFMS_News>|2010-08-17|17:30:57|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|ФСФР России выдала 4-м организациям лицензии профессионального участника рцб и аннулировала лицензии у 3-х организаций. |России
<FFMS_News>|2010-08-19|15:13:18|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|ФСФР России выдала 3-м организациям лицензии профессионального участника рцб и аннулировала лицензии у 2-х организаций. |России
<FFMS_News>|2010-08-26|22:20:07|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|ФСФР России аннулировала лицензию специализированного депозитария ООО "Депозитарий Иркол". |России
<FFMS_News>|2010-08-26|22:21:29|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|ФСФР России аннулировала лицензию НПФ "Кузбассразрезуголь". |России
<FFMS_News>|2010-08-30|11:31:09|1|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Арбитражный суд отказал ООО "Депозитарий Иркол" в удовлетворении жалобы в отношении акта ФСФР России о противодействии в проведении проверки |России
<FFMS_News>|2010-08-30|11:33:40|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Арбитражный суд отказал ООО "Уральский специализированный депозитарий" в признании незаконным решения ФСФР России об отзыве лицензии |России
<FFMS_News>|2010-08-30|18:19:19|0|0|0|2|0|0|0|0|0|0|0|0|0|2|0|0|ФСФР России ввела временные администрации в ЗАО "Управляющая компания "Мэриленд" и ООО "Депозитарий Иркол" |России|ЗАО
<FFMS_News>|2010-08-31|19:23:04|1|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|Суд отказал ОАО ЦМД в удовлетворении аппеляционной жалобы в отношении решения ФСФР России о штрафе за противодействие в проведении проверки |России
<FFMS_News>|2010-08-31|19:25:30|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Арбитражный суд отказал ОАО ЦМД в удовлетворении требования о признании недействительным предписания ФСФР России |России
<FFMS_News>|2010-09-02|16:30:20|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|ФСФР России аннулировала лицензию ЗАО "АГ Капитал" |России|ЗАО
<FFMS_News>|2010-09-03|15:14:30|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|Зарегистрировано новое Положение ФСФР России о лицензионных требованиях и условиях осуществления профессиональной деятельности на РЦБ. |России
<FFMS_News>|2010-09-17|20:22:21|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Информписьмо ФСФР России об информации на сайтах http://www.ffms.ru/ru/legislation/letters/index.php?id_3=6615&year_3=2010&month_3=9 |России
<FFMS_News>|2010-09-22|17:55:43|0|0|0|0|0|0|0|0|0|0|2|0|0|3|0|0|ГосДума расширила перечень раскрываемых ОАО существенных фактов, приняв во втором чтении изменения в законодательство о рынке ценных бумаг. 
<FFMS_News>|2010-09-24|17:28:23|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Закон о расширении перечня существенных фактов принят Государственной Думой в третьем чтении. |Думой
<FFMS_News>|2010-09-29|13:27:26|0|0|0|0|0|0|0|0|0|0|1|0|0|2|0|0|Закон о раскрытии существенных фактов (информации) на финансовом рынке одобрен Советом Федерации. 
<FFMS_News>|2010-10-02|21:54:03|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|Итоги рассмотрения судебных дел с участием ФСФР во 2 кв. http://www.ffms.ru/ru/press/releases/index.php?id_3=6659&year_25=2010&month_25=10 
<FFMS_News>|2010-10-04|12:29:40|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Решения ФСФР России об административных взысканиях в сентябре: http://www.ffms.ru/ru/enforcement/sanctions/index.php?id_4=173 |России
<FFMS_News>|2010-10-05|11:03:14|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|Новые правила передачи реестра - проект http://www.ffms.ru/ru/legislation/documents/projects/index.php?id_3=6663&year_30=2010&month_30=10 |Новые Анены
<FFMS_News>|2010-10-05|13:25:15|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|Президент России подписал Федеральный Закон, расширяющий перечень существенных фактов http://graph.document.kremlin.ru/page.aspx?1;1300059 |России
<FFMS_News>|2010-10-05|17:44:13|0|0|0|0|0|0|0|0|0|0|2|0|0|2|0|0|ГосДума приняла в первом чтении проект закона об ответственности директоров хозяйственных обществ. 
<FFMS_News>|2010-10-11|21:51:31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Закон, расширяющий перечень существенных фактов, опубликован 08.10.2010 http://www.rg.ru/2010/10/08/cennye-bumagi-dok.html 
<FFMS_News>|2010-10-12|19:08:44|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|Зарегистрирован приказ ФСФР России "О некоторых вопросах ведения реестра владельцев ценных бумаг". |России
<FFMS_News>|2010-10-12|21:25:12|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Новации в лицензировании регистраторов http://www.ffms.ru/ru/legislation/documents/projects/index.php?id_3=6694&year_30=2010&month_30=10 
<FFMS_News>|2010-10-14|15:11:57|0|0|0|1|0|0|0|0|0|0|1|0|0|2|0|0|ФСФР России аннулировала лицензии еще 10 участников рынка, операции которых были ранее приостановлены. |России
<FFMS_News>|2010-10-15|12:42:11|0|0|0|1|0|0|0|0|0|0|1|0|0|3|0|0|ФСФР России приняла решение о раскрытии экзаменационных вопросов по специализированным квал. экзаменам для специалистов финансового рынка. |России
<FFMS_News>|2010-10-26|12:35:54|0|0|0|1|0|0|0|0|0|0|2|0|1|3|0|0|ФСФР России провела презентацию системы мониторинга рынка, которая введена в рабочую эксплуатация с 25.10.2010 года. |России
<FFMS_News>|2010-10-26|12:45:14|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Мониторинг ФСФР России: манипулирование ценами, удерживание цен, сделки без экономического смысла, инсайдерская торговля, фиктивные заявки. 
<FFMS_News>|2010-10-27|16:58:08|0|0|0|1|0|0|0|0|0|0|1|0|1|1|0|0|За 9 месяцев 2010 года ФСФР России выдала 510 лицензий профессионального участника рынка ценных бумаг и аннулировала 475 лицензий. |России
<FFMS_News>|2010-10-27|17:44:59|0|0|0|0|0|0|0|0|0|0|0|0|1|5|0|0|За 9 месяцев 2010 года число профессиональных участников рцб сократилось с 1674 до 1578, или на 6,5%. 
<FFMS_News>|2010-10-30|19:23:22|0|0|0|1|0|0|0|0|0|0|1|0|0|3|0|0|ФСФР России предлагает четко регламентировать раскрытие информации о тех.новациях, осуществляемых биржами. Проект приказа на сайте службы. |России
<FFMS_News>|2010-11-03|20:34:57|0|0|0|1|0|0|1|0|0|0|1|0|0|4|0|0|Подготовлен проект приказа ФСФР России о порядке рассмотрения заявлений эмитентов об освобождении их от обязанности раскрывать информацию |России
<FFMS_News>|2010-11-08|13:13:12|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|ФСФР России дополнила список участников рынка, операции которых ограничены, 5 организациями http://www.ffms.ru/ru/enforcement/restrictions/ |России
<FFMS_News>|2010-11-09|16:36:11|0|0|0|2|0|0|1|0|0|0|0|0|0|4|0|0|ФСФР России зарегистрировала проспект ценных бумаг Республики Беларусь и допустила их к публичному размещению и обращению в России. |России|Беларусь
<FFMS_News>|2010-11-10|12:06:39|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|ФСФР России и Комиссия по финансовым услугам Республики Корея подписали меморандум об обмене информацией. |России
<FFMS_News>|2010-11-12|21:50:42|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|Подписание меморандума между ФСФР России и Комиссией по финансовым рынкам Республики Корея http://twitpic.com/3678vw |России
<FFMS_News>|2010-11-13|10:03:01|0|0|0|2|0|0|0|0|0|0|1|0|0|0|0|0|Корейская биржа (KRX) приветствует ФСФР России. http://twitpic.com/36d0dj |Корейская народно-демократическая республика|России
<FFMS_News>|2010-11-16|18:56:18|0|0|0|2|0|0|0|0|0|0|1|0|0|4|0|0|Подготовленный ФСФР России закон о "биржевых акциях" и об упрощении процедуры эмиссии цб принят Государственной Думой в первом чтении. |России|Думой
<FFMS_News>|2010-11-16|22:22:01|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|ФСФР России аннулировала лицензию екатеринбургской компании, члену НАУФОР ООО "ИФК Еврогрин" за грубейшие нарушения законодательства. |России
