<FSIN_Russia>|2012-08-14|11:01:55|0|1|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Воспитанник из Тюменской ВК победил во всероссийском конкурсе http://t.co/XsnNkexG |Тюменской области
<FSIN_Russia>|2012-08-14|12:32:08|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Осужденные ИК-7 УФСИН России по Ставропольскому краю прошли вступительные испытания для… http://t.co/xB81Y47d |России|Ставропольскому краю
<FSIN_Russia>|2012-08-14|12:32:15|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Вынесен приговор бывшему сотруднику ГУФСИН России по Свердловской области http://t.co/MTD7zgJd |России|Свердловской области
<FSIN_Russia>|2012-08-14|12:32:15|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|В ГУФСИН России по Красноярскому краю продолжается работа по пресечению противоправных… http://t.co/LUU4UAPL |России|Красноярскому краю
<FSIN_Russia>|2012-08-14|12:32:15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|На пять лет может увеличиться срок осужденным, нанесшим телесные повреждения сотруднику УФСИН… http://t.co/NQtXrI8j 
<FSIN_Russia>|2012-08-14|15:30:13|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|В нынешнем году исполняется пятнадцать лет самарскому центру социальной адаптации для лиц… http://t.co/iE4iBPNJ 
<FSIN_Russia>|2012-08-14|15:30:13|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|В ИК-33 УФСИН России по Республике Хакасия открыли HD кинозал http://t.co/2vqXwWRL |России|Хакасия
<FSIN_Russia>|2012-08-14|15:30:13|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|В колонии Ростовской области открыли молельную комнату для мусульман http://t.co/QSjkmuzl |Ростовской области
<FSIN_Russia>|2012-08-14|15:30:14|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Сотрудник ОСН(б) "Акула" УФСИН России по Краснодарскому краю стал призером всероссийских… http://t.co/0WxylhXI |России|Краснодарскому краю
<FSIN_Russia>|2012-08-14|17:03:16|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|В Арзамасской воспитательной колонии ГУФСИН России по Нижегородской области состоялся День… http://t.co/4WGpyvy3 |России
<FSIN_Russia>|2012-08-15|10:45:03|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|В ИК-2 УФСИН России по Чеченской Республике открыт участок производства обуви http://t.co/xvBC4FzB |России|Чеченской республике
<FSIN_Russia>|2012-08-15|10:45:03|0|0|0|2|0|0|0|0|0|0|0|0|0|2|0|0|В СИЗО-4 УФСИН России по Алтайскому краю установлено оборудование для видеоконференцсвязи с… http://t.co/yaGLUpym |России|Алтайскому краю
<FSIN_Russia>|2012-08-15|10:45:03|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|В СИЗО-1 УФСИН России по Орловской области прошли учебно-методические сборы по подготовке… http://t.co/rv4Znsq7 |России|Орловской области
<FSIN_Russia>|2012-08-15|10:45:08|0|0|0|2|0|0|0|0|0|0|0|0|0|2|0|0|Заместитель начальника ГУФСИН России по Новосибирской области приняла участие в пресс… http://t.co/DRq3Snnv |России|Новосибирской области
<FSIN_Russia>|2012-08-15|12:11:14|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Сотрудники отдела специального назначения «Лидер» ГУФСИН России по Приморскому краю готовятся… http://t.co/FHKhRJFh |России|Приморскому краю
<FSIN_Russia>|2012-08-15|12:11:20|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|В ИК-4 УФСИН России по Республике Мордовия открыт центр дистанционного образования http://t.co/8cYnCQeB |России|Мордовия
<FSIN_Russia>|2012-08-15|12:11:20|0|0|0|2|0|0|0|0|0|0|0|0|0|2|0|0|Спецназ ГУФСИН России по Республике Башкортостан принял участие в межведомственных учениях http://t.co/O955N6bC |России|Башкортостан
<FSIN_Russia>|2012-08-15|12:11:20|0|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|Разъяснение ФСИН России информации, опубликованной в «Российской газете» №5858 (185) от 14.08… http://t.co/RDQPduYm |России
<FSIN_Russia>|2012-08-15|12:11:25|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Положительно характеризующиеся осужденные СИЗО-1 УФСИН России по Курганской области… http://t.co/ebQbMePQ |России|Курганской области
<FSIN_Russia>|2012-08-15|13:13:22|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Сотрудники ИК-6 ГУФСИН России по Свердловской области изъяли спиртосодержащую жидкость у… http://t.co/ifNx3EiU |России|Свердловской области
<FSIN_Russia>|2012-08-15|16:51:09|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|Сотрудники УФСИН России по Республике Бурятия пресекли попытки передачи осужденным… http://t.co/YETmudUN |России|Бурятия
